nationality,sport,age,male,height,weight,won_any,won_gold,total_medals
CAN,aquatics,23,0,167,54,1,0,1
UKR,athletics,22,0,167,75,0,0,0
UKR,aquatics,24,0,178,58,0,0,0
AUS,judo,24,0,172,63,0,0,0
GER,hockey,29,0,170,61,1,0,1
USA,fencing,23,0,181,79,0,0,0
GBR,rowing,25,0,172,58,0,0,0
GBR,gymnastics,30,0,157,55,0,0,0
GBR,rowing,40,0,183,78,1,0,1
DOM,taekwondo,24,0,186,75,0,0,0
BRA,fencing,22,0,180,74,0,0,0
CAN,basketball,23,0,190,89,0,0,0
USA,hockey,26,0,163,56,0,0,0
USA,aquatics,19,0,173,67,1,1,2
USA,hockey,27,0,155,54,0,0,0
USA,rowing,32,0,176,58,0,0,0
USA,hockey,26,0,163,58,0,0,0
GER,football,24,0,172,60,0,0,0
GER,athletics,32,0,168,72,0,0,0
GER,rowing,25,0,183,69,0,0,0
AUT,judo,24,0,173,63,0,0,0
USA,rugby sevens,24,0,178,69,0,0,0
AUS,athletics,34,0,168,72,0,0,0
CAN,equestrian,31,0,179,58,0,0,0
AUS,hockey,23,0,173,68,0,0,0
EST,badminton,32,0,164,62,0,0,0
ALG,sailing,20,0,170,65,0,0,0
GBR,cycling,22,0,178,70,1,1,1
NZL,football,22,0,172,56,0,0,0
GBR,aquatics,22,0,168,56,0,0,0
NZL,football,28,0,161,56,0,0,0
GBR,rowing,33,0,179,71,1,0,1
USA,aquatics,19,0,183,72,1,1,5
AUS,basketball,26,0,177,70,0,0,0
USA,triathlon,27,0,173,58,0,0,0
HUN,aquatics,27,0,175,68,1,1,4
DEN,sailing,21,0,173,70,1,0,1
EST,sailing,20,0,169,63,0,0,0
BEL,triathlon,34,0,170,61,0,0,0
AUS,cycling,34,0,166,56,0,0,0
AUS,football,23,0,154,54,0,0,0
USA,aquatics,24,0,163,59,0,0,0
BLR,athletics,24,0,173,64,0,0,0
BLR,gymnastics,19,0,167,47,0,0,0
BLR,basketball,30,0,188,78,0,0,0
JPN,aquatics,22,1,183,79,0,0,0
JPN,rugby sevens,27,1,172,85,0,0,0
JPN,aquatics,27,1,184,84,0,0,0
GBR,cycling,23,0,170,72,1,0,1
GBR,rugby sevens,30,0,167,70,0,0,0
BIZ,athletics,25,0,172,61,0,0,0
BRA,athletics,29,0,164,58,0,0,0
EST,athletics,25,1,192,76,0,0,0
IRI,athletics,31,1,192,89,0,0,0
IND,athletics,31,0,157,45,0,0,0
USA,volleyball,28,1,190,79,1,0,1
USA,volleyball,27,0,178,75,1,0,1
USA,judo,26,0,173,74,1,1,1
NZL,canoe,24,0,182,80,0,0,0
NZL,rugby sevens,27,0,169,70,1,0,1
CAN,rugby sevens,25,0,159,65,1,0,1
NZL,rowing,25,0,179,73,0,0,0
NZL,hockey,30,0,174,72,0,0,0
CAN,football,27,0,173,62,0,0,0
JPN,athletics,34,0,160,47,0,0,0
TUR,judo,28,0,165,90,0,0,0
JPN,rugby sevens,23,1,170,77,0,0,0
JPN,canoe,27,1,167,65,0,0,0
JPN,cycling,32,1,176,80,0,0,0
JPN,rugby sevens,25,1,185,87,0,0,0
JPN,cycling,27,1,172,65,0,0,0
JPN,sailing,24,1,175,65,0,0,0
JPN,athletics,19,1,170,53,0,0,0
JPN,fencing,29,1,177,75,0,0,0
CAN,canoe,30,0,173,68,0,0,0
RSA,football,23,1,173,67,0,0,0
CAN,hockey,24,1,166,59,0,0,0
THA,sailing,23,1,181,82,0,0,0
AUS,aquatics,26,0,176,64,0,0,0
MAW,athletics,22,1,170,63,0,0,0
JPN,aquatics,24,0,160,50,1,0,1
JPN,tennis,26,1,178,70,1,0,1
JPN,athletics,27,1,180,67,0,0,0
JPN,aquatics,26,1,183,96,0,0,0
JPN,sailing,30,0,152,53,0,0,0
BRA,athletics,33,0,170,62,0,0,0
JPN,athletics,25,1,175,62,0,0,0
JPN,athletics,30,1,196,95,0,0,0
AUS,shooting,36,1,176,78,0,0,0
USA,shooting,41,1,183,95,0,0,0
CAN,judo,26,0,169,70,0,0,0
USA,fencing,28,0,176,74,0,0,0
USA,football,28,0,165,54,0,0,0
JAM,athletics,22,0,183,86,0,0,0
GRE,aquatics,25,0,169,55,0,0,0
NZL,rugby sevens,26,0,171,70,1,0,1
USA,cycling,20,0,168,63,1,0,1
NED,handball,22,0,185,78,0,0,0
USA,rugby sevens,29,0,163,68,0,0,0
NED,hockey,26,0,159,59,1,0,1
GBR,athletics,31,0,167,58,1,0,1
USA,volleyball,26,0,188,79,1,0,1
CAN,rugby sevens,29,0,178,83,1,0,1
BRA,basketball,36,0,192,92,0,0,0
MAS,golf,22,0,165,61,0,0,0
TTO,athletics,29,0,167,54,0,0,0
NZL,rowing,26,0,174,70,0,0,0
USA,athletics,23,0,178,115,0,0,0
USA,hockey,24,0,161,61,0,0,0
USA,volleyball,24,0,188,75,1,0,1
NZL,hockey,21,0,163,58,0,0,0
AUS,aquatics,25,0,178,64,0,0,0
AUS,athletics,24,0,175,70,0,0,0
USA,aquatics,22,0,181,74,1,1,1
CAN,athletics,25,0,170,63,0,0,0
VEN,fencing,28,1,173,72,0,0,0
BIH,athletics,31,1,196,120,0,0,0
JAM,athletics,24,1,193,84,1,1,1
CAY,athletics,26,1,178,74,0,0,0
BRN,athletics,24,1,182,85,0,0,0
JAM,athletics,25,1,168,57,0,0,0
SWE,football,22,1,180,69,0,0,0
JPN,aquatics,35,1,170,70,0,0,0
AUS,canoe,33,1,190,90,1,0,1
USA,athletics,21,0,178,67,0,0,0
CAN,athletics,19,0,167,56,0,0,0
USA,weightlifting,30,1,168,93,0,0,0
MEX,rowing,22,0,162,59,0,0,0
JAM,athletics,36,0,170,58,0,0,0
JPN,badminton,30,1,177,80,0,0,0
JPN,athletics,30,1,182,69,0,0,0
JPN,aquatics,29,1,180,80,0,0,0
JPN,sailing,33,1,186,77,0,0,0
JPN,rugby sevens,23,1,176,85,0,0,0
CAN,aquatics,19,0,173,74,1,0,1
USA,equestrian,35,1,173,65,1,0,1
JPN,badminton,30,1,171,68,0,0,0
JPN,fencing,28,1,183,83,0,0,0
JPN,athletics,21,1,174,64,0,0,0
FRA,handball,25,1,186,83,1,0,1
JPN,aquatics,27,1,182,77,0,0,0
ALG,athletics,35,0,164,54,0,0,0
FRA,football,25,0,165,60,0,0,0
JPN,gymnastics,19,1,162,51,1,1,2
ISR,aquatics,26,0,180,68,0,0,0
GBR,aquatics,28,0,177,66,0,0,0
NZL,rowing,22,0,182,76,0,0,0
USA,volleyball,37,0,188,72,1,0,1
USA,athletics,30,1,188,86,1,1,1
AUS,rowing,35,0,183,74,0,0,0
IRL,athletics,35,0,167,53,0,0,0
USA,rowing,27,0,183,81,1,1,1
GER,cycling,23,1,179,75,0,0,0
GER,rowing,28,0,177,70,0,0,0
AUS,aquatics,22,0,169,63,0,0,0
TTO,athletics,23,1,183,90,1,0,1
TTO,athletics,18,1,180,88,0,0,0
LAT,sailing,17,0,164,60,0,0,0
USA,athletics,20,0,166,61,0,0,0
HON,football,20,1,181,76,0,0,0
COL,football,19,1,183,77,0,0,0
BEL,athletics,28,1,180,67,0,0,0
FRA,weightlifting,35,1,177,94,0,0,0
FRA,athletics,28,1,183,63,0,0,0
AUS,aquatics,24,1,170,70,0,0,0
USA,aquatics,22,1,221,88,1,1,1
GUA,badminton,29,1,180,80,0,0,0
MON,gymnastics,24,1,183,81,0,0,0
USA,basketball,27,1,204,104,1,1,1
AUS,basketball,30,1,188,89,0,0,0
HON,football,20,1,170,69,0,0,0
ESP,athletics,26,1,171,56,0,0,0
FRA,athletics,24,1,186,77,1,0,1
FRA,athletics,24,1,176,66,0,0,0
IRL,athletics,32,1,175,59,0,0,0
FRA,equestrian,35,1,182,70,1,1,1
FRA,volleyball,25,1,200,85,0,0,0
FRA,volleyball,27,1,209,98,0,0,0
CHN,aquatics,21,1,183,79,0,0,0
SWE,athletics,22,0,173,64,0,0,0
JOR,aquatics,17,1,184,80,0,0,0
TUN,rowing,20,0,171,57,0,0,0
MAS,archery,24,1,171,75,0,0,0
MAS,sailing,23,1,182,81,0,0,0
UAE,shooting,31,1,168,85,0,0,0
IOA,shooting,38,1,163,105,0,0,0
TUN,handball,27,1,189,92,0,0,0
TUN,canoe,26,1,187,90,0,0,0
EGY,table tennis,23,1,198,99,0,0,0
MAR,weightlifting,20,1,178,81,0,0,0
TTO,athletics,18,0,165,50,0,0,0
CAN,athletics,22,0,160,60,0,0,0
RUS,judo,22,1,182,81,1,1,1
COL,rugby sevens,23,0,162,60,0,0,0
GEO,archery,42,0,175,79,0,0,0
MAS,badminton,27,0,174,63,0,0,0
FRA,football,26,0,179,69,0,0,0
IND,athletics,29,1,169,53,0,0,0
AZE,wrestling,33,1,180,97,1,0,1
UKR,athletics,28,0,168,60,0,0,0
MGL,wrestling,24,1,181,102,0,0,0
CAN,basketball,20,0,182,68,0,0,0
USA,gymnastics,17,0,161,53,0,0,0
IRI,weightlifting,25,1,177,84,1,1,1
USA,athletics,35,1,188,102,0,0,0
IRL,gymnastics,27,1,163,65,0,0,0
CAN,aquatics,22,0,150,57,0,0,0
BAR,athletics,26,0,176,61,0,0,0
JPN,equestrian,43,1,175,73,0,0,0
KOR,hockey,26,0,167,69,0,0,0
NED,tennis,24,0,182,78,0,0,0
JPN,gymnastics,19,0,161,44,0,0,0
USA,aquatics,23,0,173,65,1,1,1
FRA,judo,26,1,171,70,0,0,0
SWE,athletics,26,1,180,87,0,0,0
SWE,handball,33,1,200,105,0,0,0
GER,gymnastics,27,0,156,49,0,0,0
SKN,athletics,40,1,180,77,0,0,0
USA,athletics,30,0,161,49,0,0,0
CAN,basketball,32,0,185,72,0,0,0
AUS,athletics,31,0,168,70,0,0,0
NED,judo,25,0,175,70,0,0,0
FRA,basketball,28,1,211,105,0,0,0
VIE,weightlifting,22,1,160,56,0,0,0
AUS,rowing,30,0,188,74,1,1,1
BEL,aquatics,27,0,187,75,0,0,0
PER,athletics,22,0,164,51,0,0,0
USA,volleyball,26,0,193,72,1,0,1
CAN,athletics,27,0,179,65,0,0,0
USA,shooting,37,0,163,83,1,0,1
JAM,athletics,27,0,178,62,0,0,0
IRI,taekwondo,18,0,185,62,1,0,1
JPN,sailing,32,1,180,78,0,0,0
SRI,aquatics,17,0,165,51,0,0,0
VIN,athletics,30,0,178,65,0,0,0
HKG,cycling,25,1,172,77,0,0,0
POL,volleyball,26,0,179,67,0,0,0
KEN,judo,35,1,175,90,0,0,0
NED,aquatics,22,0,174,72,0,0,0
GER,volleyball,25,0,185,75,1,1,1
THA,golf,27,1,172,106,0,0,0
RUS,judo,28,1,182,90,0,0,0
KAZ,table tennis,19,1,175,64,0,0,0
RUS,shooting,24,1,179,88,1,0,1
RUS,canoe,30,1,180,81,0,0,0
RUS,aquatics,20,1,192,88,0,0,0
IRL,hockey,22,1,175,68,0,0,0
BEL,tennis,30,0,165,59,0,0,0
RSA,rowing,27,0,170,57,0,0,0
NZL,hockey,25,0,162,58,0,0,0
CAN,triathlon,27,0,163,49,0,0,0
NED,cycling,33,0,178,78,0,0,0
CAN,cycling,28,0,173,65,1,0,1
PHI,taekwondo,26,0,173,67,0,0,0
AUS,hockey,27,0,173,66,0,0,0
ZIM,aquatics,32,0,176,64,0,0,0
NZL,football,29,0,165,58,0,0,0
HKG,athletics,28,0,155,45,0,0,0
FIJ,rugby sevens,23,1,186,87,1,1,1
GBR,equestrian,33,0,158,60,0,0,0
NED,hockey,28,0,196,63,1,0,1
TUR,athletics,24,0,166,85,0,0,0
CZE,golf,21,0,168,53,0,0,0
POL,shooting,22,0,158,52,0,0,0
POL,athletics,24,0,170,57,0,0,0
ARG,sailing,21,1,182,81,0,0,0
USA,basketball,26,1,200,97,1,1,1
BRA,cycling,30,1,167,65,0,0,0
BRA,athletics,31,1,175,69,0,0,0
BEL,athletics,26,1,182,66,0,0,0
JPN,cycling,27,1,170,60,0,0,0
JPN,gymnastics,27,1,162,52,1,1,2
JPN,cycling,30,1,182,69,0,0,0
JPN,athletics,21,1,179,69,0,0,0
JPN,athletics,31,1,185,69,0,0,0
JPN,aquatics,26,1,176,78,0,0,0
JPN,gymnastics,27,1,159,58,1,1,1
JPN,table tennis,21,1,162,51,1,0,1
JPN,equestrian,26,1,176,65,0,0,0
IRI,wrestling,28,1,186,115,1,0,1
TJK,judo,23,1,182,90,0,0,0
JPN,athletics,23,0,153,50,0,0,0
POL,athletics,19,1,191,138,0,0,0
POL,aquatics,27,1,195,87,0,0,0
GRE,athletics,29,1,200,80,0,0,0
GRE,athletics,29,1,181,78,0,0,0
GRE,athletics,29,1,187,74,0,0,0
RUS,volleyball,27,1,210,101,0,0,0
GRE,aquatics,28,1,192,88,0,0,0
GRE,aquatics,23,1,183,87,0,0,0
GRE,aquatics,28,1,197,109,0,0,0
GER,athletics,19,0,174,48,0,0,0
CAN,wrestling,29,1,188,115,0,0,0
SWE,football,27,0,166,54,1,0,1
RUS,volleyball,31,1,204,96,0,0,0
JPN,aquatics,21,1,177,71,1,1,3
JPN,football,21,1,184,72,0,0,0
JPN,athletics,23,1,174,54,0,0,0
IND,hockey,23,1,170,63,0,0,0
JPN,volleyball,26,0,159,57,0,0,0
AUS,aquatics,22,0,165,60,0,0,0
MAR,athletics,26,0,159,45,0,0,0
CRO,handball,26,1,197,105,0,0,0
CAN,athletics,39,0,167,54,0,0,0
CHI,aquatics,30,0,170,60,0,0,0
GRE,aquatics,24,0,174,61,0,0,0
USA,gymnastics,18,0,176,56,0,0,0
USA,athletics,28,0,171,60,1,0,1
SRB,wrestling,32,1,170,59,0,0,0
GRE,aquatics,23,1,202,95,0,0,0
USA,aquatics,23,1,171,72,0,0,0
SWE,table tennis,24,1,183,82,0,0,0
GBR,gymnastics,27,1,180,78,0,0,0
BUL,rowing,24,1,197,97,0,0,0
FIN,athletics,23,0,185,68,0,0,0
CRO,cycling,29,1,170,57,0,0,0
USA,cycling,42,0,173,58,1,1,1
GER,athletics,25,0,178,61,0,0,0
GER,equestrian,29,0,168,54,1,1,2
GBR,equestrian,45,0,178,68,0,0,0
CZE,badminton,27,0,177,73,0,0,0
RUS,aquatics,21,0,173,56,0,0,0
EST,fencing,30,0,180,74,0,0,0
FRA,tennis,23,0,184,66,0,0,0
TJK,athletics,27,0,172,60,0,0,0
GER,hockey,32,0,181,71,1,0,1
CAN,volleyball,29,0,188,68,0,0,0
GER,cycling,25,0,160,66,1,1,2
GEO,archery,31,0,162,69,0,0,0
HUN,aquatics,19,1,190,84,0,0,0
AUS,equestrian,38,0,170,56,0,0,0
CZE,rowing,23,0,173,64,0,0,0
HUN,aquatics,19,1,191,91,0,0,0
HUN,athletics,34,1,188,116,0,0,0
HUN,aquatics,30,1,186,84,0,0,0
HUN,judo,22,1,175,93,0,0,0
HUN,canoe,36,0,172,64,1,1,1
HUN,aquatics,22,0,170,76,0,0,0
HUN,athletics,33,0,173,53,0,0,0
CRO,basketball,31,1,197,100,0,0,0
POL,rowing,28,1,198,102,0,0,0
POL,athletics,27,1,185,68,0,0,0
POL,handball,33,1,199,99,0,0,0
POL,cycling,25,1,181,80,0,0,0
RUS,judo,28,0,186,78,0,0,0
RUS,archery,27,0,169,77,1,0,1
EST,athletics,29,0,169,51,0,0,0
FRA,gymnastics,21,0,163,50,0,0,0
UKR,fencing,22,0,168,75,0,0,0
UKR,aquatics,30,0,178,57,0,0,0
ZIM,football,26,0,162,60,0,0,0
PRK,weightlifting,23,0,170,100,1,0,1
PRK,aquatics,17,0,149,39,0,0,0
PRK,judo,26,1,179,73,0,0,0
KOR,athletics,25,1,176,73,0,0,0
PRK,athletics,27,0,161,48,0,0,0
IND,wrestling,26,0,165,52,0,0,0
JPN,athletics,24,0,158,47,0,0,0
TPE,shooting,17,1,186,107,0,0,0
THA,judo,20,1,193,148,0,0,0
IND,athletics,29,1,172,70,0,0,0
CAM,athletics,38,1,151,55,0,0,0
MOZ,athletics,31,1,180,74,0,0,0
GRN,athletics,28,1,182,76,0,0,0
AUS,athletics,19,1,187,78,0,0,0
JPN,aquatics,24,0,167,59,1,0,1
RSA,rugby sevens,23,1,180,90,1,0,1
HKG,table tennis,19,1,178,66,0,0,0
RSA,football,22,1,184,79,0,0,0
AUS,football,25,0,164,61,0,0,0
KOR,shooting,25,0,158,50,0,0,0
RSA,rugby sevens,29,1,182,92,1,0,1
AUS,aquatics,18,1,193,90,1,1,3
USA,athletics,25,1,181,72,1,1,1
RSA,cycling,22,1,178,80,0,0,0
GBR,tennis,21,1,189,81,0,0,0
GBR,cycling,22,1,180,81,0,0,0
USA,wrestling,20,1,181,102,1,1,1
IRL,hockey,24,1,183,88,0,0,0
USA,basketball,30,1,183,93,1,1,1
CAN,judo,22,1,183,99,0,0,0
MLT,weightlifting,29,1,177,85,0,0,0
NED,aquatics,20,1,186,84,0,0,0
CAN,aquatics,20,0,170,61,1,0,1
BLR,gymnastics,17,0,160,50,0,0,0
IND,shooting,25,1,200,85,0,0,0
PRK,wrestling,26,1,158,57,0,0,0
PRK,judo,26,0,163,78,0,0,0
KOR,fencing,32,1,177,77,0,0,0
CYP,athletics,32,1,196,74,0,0,0
GRE,aquatics,25,1,192,84,0,0,0
USA,basketball,24,1,190,87,1,1,1
KOR,football,22,1,188,77,0,0,0
KOR,badminton,26,0,172,59,1,0,1
KOR,athletics,33,0,163,43,0,0,0
KOR,aquatics,26,1,181,75,0,0,0
RSA,athletics,31,1,182,79,0,0,0
AUS,canoe,27,1,176,80,1,0,1
SVK,canoe,33,1,189,80,1,1,1
COL,football,24,0,164,60,0,0,0
COL,table tennis,35,0,157,52,0,0,0
LAO,athletics,20,0,169,55,0,0,0
DEN,sailing,24,0,167,56,0,0,0
AUS,shooting,26,0,163,61,0,0,0
ISR,golf,24,0,175,61,0,0,0
CMR,volleyball,22,0,184,80,0,0,0
FRA,basketball,29,0,187,78,0,0,0
FRA,judo,30,0,150,48,0,0,0
FRA,football,25,0,173,61,0,0,0
ESP,basketball,36,0,181,69,1,0,1
BRA,wrestling,23,0,165,65,0,0,0
SEN,basketball,27,0,179,78,0,0,0
IND,athletics,27,0,166,50,0,0,0
AUS,shooting,52,0,158,64,0,0,0
TTO,athletics,27,1,179,83,0,0,0
GBR,canoe,27,0,169,65,0,0,0
BAR,aquatics,23,0,175,66,0,0,0
CAN,athletics,32,0,155,48,0,0,0
CAY,aquatics,21,0,172,60,0,0,0
ESP,handball,24,0,184,74,0,0,0
FRA,aquatics,24,0,173,60,0,0,0
GBR,equestrian,27,0,176,62,0,0,0
GER,athletics,25,0,173,68,0,0,0
TUR,basketball,29,0,191,77,0,0,0
BRA,aquatics,28,0,167,59,0,0,0
AUT,sailing,22,0,165,56,0,0,0
BEN,aquatics,15,0,173,63,0,0,0
ALG,athletics,28,1,188,88,0,0,0
BIH,judo,25,0,176,110,0,0,0
BRA,handball,24,0,167,62,0,0,0
AUS,football,20,0,178,70,0,0,0
BRA,volleyball,34,0,174,70,0,0,0
BRA,aquatics,23,0,169,57,0,0,0
AUS,gymnastics,24,0,159,50,0,0,0
GER,football,27,1,184,77,1,0,1
GER,volleyball,26,1,192,83,0,0,0
SUI,cycling,23,1,177,68,0,0,0
GER,rowing,29,1,186,73,0,0,0
GEO,judo,24,1,170,75,1,0,1
GEO,weightlifting,22,1,197,157,1,1,1
GEO,athletics,23,1,184,73,0,0,0
USA,athletics,30,1,191,86,1,1,2
TUR,canoe,28,0,180,77,0,0,0
DEN,cycling,24,1,180,73,1,0,2
DEN,handball,32,1,185,85,1,1,1
DEN,football,29,1,184,75,0,0,0
HUN,aquatics,30,1,188,84,1,0,1
HUN,judo,28,1,172,83,0,0,0
BAH,athletics,22,1,173,64,0,0,0
AUS,football,26,0,178,74,0,0,0
LTU,modern pentathlon,32,0,160,49,0,0,0
FRA,aquatics,24,0,175,60,0,0,0
GER,football,23,0,173,68,1,1,1
CAN,cycling,29,0,167,61,1,0,1
ROU,handball,26,0,173,65,0,0,0
NED,volleyball,26,0,184,70,0,0,0
ESP,aquatics,26,0,170,58,0,0,0
ESP,basketball,24,0,191,78,1,0,1
FRA,handball,22,0,178,65,1,0,1
ESP,judo,32,0,160,52,0,0,0
COL,rugby sevens,23,0,161,61,0,0,0
USA,equestrian,29,0,173,54,1,0,1
AUS,basketball,32,0,191,78,0,0,0
LAT,athletics,24,0,179,63,0,0,0
USA,equestrian,50,0,171,56,0,0,0
GER,triathlon,20,0,168,57,0,0,0
ESP,aquatics,28,0,171,65,0,0,0
GER,volleyball,30,0,181,70,1,1,1
FRA,aquatics,23,0,168,55,0,0,0
ITA,rowing,31,0,168,57,0,0,0
GBR,athletics,23,0,161,49,0,0,0
GER,athletics,20,0,172,58,0,0,0
ESP,basketball,27,0,190,90,1,0,1
NED,hockey,21,0,172,64,0,0,0
EST,archery,22,0,170,70,0,0,0
ROU,rowing,22,0,186,75,1,0,1
ESP,basketball,20,0,185,74,1,0,1
AND,judo,30,0,169,63,0,0,0
HUN,badminton,23,0,167,57,0,0,0
GER,tennis,28,0,168,62,0,0,0
NED,cycling,22,0,170,73,0,0,0
ITA,aquatics,25,0,175,75,1,0,1
GBR,cycling,24,0,164,56,1,1,2
GBR,hockey,28,0,152,55,1,1,1
GER,judo,26,0,173,70,1,0,1
BEL,gymnastics,19,0,160,54,0,0,0
GBR,athletics,25,0,172,56,0,0,0
GBR,athletics,31,0,175,59,0,0,0
USA,gymnastics,16,0,161,43,0,0,0
NED,athletics,20,0,173,61,0,0,0
NED,handball,26,0,172,68,0,0,0
PUR,equestrian,28,0,161,59,0,0,0
NZL,aquatics,28,0,183,67,0,0,0
USA,hockey,31,0,161,57,0,0,0
USA,rugby sevens,25,0,168,68,0,0,0
NZL,cycling,27,0,166,64,0,0,0
USA,volleyball,34,0,188,75,0,0,0
USA,gymnastics,16,0,153,48,1,1,2
USA,equestrian,29,0,178,68,0,0,0
FRA,fencing,24,0,178,60,0,0,0
AUS,cycling,25,0,176,69,0,0,0
USA,rowing,28,0,181,77,1,1,1
AUS,athletics,28,0,178,66,0,0,0
CAN,rowing,26,0,180,75,0,0,0
AUT,archery,41,0,164,57,0,0,0
FRA,shooting,40,0,158,55,0,0,0
GBR,fencing,32,1,185,85,0,0,0
BEL,cycling,20,1,188,67,0,0,0
LUX,aquatics,26,1,187,82,0,0,0
BRA,rugby sevens,22,1,171,75,0,0,0
FRA,cycling,24,0,169,69,0,0,0
NED,hockey,21,0,173,67,1,0,1
NED,cycling,28,0,167,63,0,0,0
FRA,handball,30,0,174,67,1,0,1
GER,rowing,25,1,195,98,1,1,1
ARG,football,22,1,175,80,0,0,0
FIJ,rugby sevens,25,0,165,57,0,0,0
ISV,athletics,34,0,173,68,0,0,0
RSA,rowing,25,1,187,94,1,0,1
GBR,athletics,26,1,187,77,0,0,0
JOR,triathlon,30,1,170,61,0,0,0
IND,archery,27,0,161,56,0,0,0
CUB,athletics,18,1,191,83,0,0,0
USA,cycling,33,0,168,55,0,0,0
FRA,canoe,23,0,168,65,0,0,0
SUI,athletics,26,0,183,69,0,0,0
AUS,aquatics,27,0,173,77,0,0,0
CAN,cycling,26,0,167,59,0,0,0
AUS,aquatics,21,0,173,77,1,0,1
JAM,athletics,23,0,173,66,0,0,0
USA,aquatics,21,0,176,67,1,1,2
IND,tennis,43,1,175,82,0,0,0
RSA,football,27,0,165,55,0,0,0
CAN,cycling,23,1,193,81,0,0,0
BRA,basketball,33,1,194,97,0,0,0
POR,football,22,1,180,70,0,0,0
ARG,football,20,1,166,70,0,0,0
CUB,athletics,20,1,186,72,0,0,0
AUS,badminton,25,0,167,58,0,0,0
RSA,football,20,1,181,69,0,0,0
RSA,athletics,26,1,160,56,0,0,0
RSA,football,24,0,155,48,0,0,0
USA,fencing,22,0,163,48,0,0,0
CAN,sailing,27,1,181,82,0,0,0
RSA,rowing,27,0,181,74,0,0,0
BAH,athletics,34,1,191,82,0,0,0
CHN,gymnastics,24,1,170,64,1,0,1
CHN,sailing,33,1,185,88,0,0,0
UKR,table tennis,28,1,176,74,0,0,0
BRA,volleyball,31,0,169,58,0,0,0
COL,football,20,0,154,56,0,0,0
COL,football,19,0,158,57,0,0,0
COL,weightlifting,26,0,168,69,0,0,0
VEN,archery,32,0,169,52,0,0,0
EGY,aquatics,19,0,160,46,0,0,0
EST,athletics,30,0,165,48,0,0,0
AUS,basketball,31,0,165,60,0,0,0
PUR,weightlifting,31,0,153,50,0,0,0
ETH,athletics,21,1,168,53,0,0,0
GER,football,30,0,171,56,1,1,1
AUT,aquatics,18,0,174,69,0,0,0
GER,modern pentathlon,30,0,179,60,0,0,0
GER,athletics,23,0,174,92,0,0,0
BHU,shooting,24,0,165,59,0,0,0
ECU,judo,22,1,170,60,0,0,0
CZE,rowing,24,0,177,70,0,0,0
GBR,athletics,30,0,171,59,0,0,0
ARG,basketball,31,1,204,106,0,0,0
GER,football,21,1,186,76,0,0,0
IRL,golf,21,0,168,56,0,0,0
USA,athletics,29,1,171,59,0,0,0
SIN,sailing,23,1,170,68,0,0,0
GER,football,22,1,171,62,0,0,0
CRC,triathlon,32,1,179,65,0,0,0
ARG,handball,34,1,197,105,0,0,0
BRA,handball,22,1,194,104,0,0,0
BRA,aquatics,25,1,175,70,0,0,0
FIJ,rugby sevens,28,1,198,109,1,1,1
CUB,athletics,28,1,181,68,0,0,0
UZB,athletics,32,1,198,93,0,0,0
GER,gymnastics,23,0,162,54,0,0,0
GER,aquatics,19,0,184,62,0,0,0
GER,aquatics,16,0,175,62,0,0,0
GER,football,23,0,163,62,1,1,1
ESP,basketball,24,0,180,72,1,0,1
CAN,fencing,22,0,180,77,0,0,0
CYP,athletics,21,0,180,64,0,0,0
CZE,cycling,28,1,178,62,0,0,0
FSM,athletics,18,0,153,57,0,0,0
CAN,rowing,56,0,160,50,0,0,0
FIJ,athletics,28,1,183,102,0,0,0
SKN,athletics,23,1,165,54,0,0,0
ARG,volleyball,30,0,186,70,0,0,0
ESP,basketball,21,0,177,62,1,0,1
BRA,athletics,20,0,165,49,0,0,0
CUB,shooting,39,1,168,78,0,0,0
ARM,wrestling,25,1,186,125,0,0,0
GER,taekwondo,28,1,173,61,0,0,0
LCA,athletics,32,0,179,48,0,0,0
BAR,athletics,20,1,181,78,0,0,0
ARM,athletics,21,1,193,75,0,0,0
AUS,rugby sevens,23,1,183,89,0,0,0
NZL,rugby sevens,22,1,192,100,0,0,0
USA,golf,21,0,181,72,0,0,0
CUB,modern pentathlon,24,0,170,68,0,0,0
IRI,athletics,33,0,187,100,0,0,0
CHN,shooting,34,0,170,55,1,0,2
CHN,aquatics,23,0,167,54,1,0,1
CHN,volleyball,24,0,171,70,1,1,1
CHN,football,25,0,167,58,0,0,0
USA,aquatics,21,0,178,74,1,0,1
CUB,athletics,20,0,166,52,0,0,0
AUS,athletics,29,1,178,64,0,0,0
ITA,cycling,24,1,185,70,0,0,0
GBR,canoe,31,1,182,81,1,1,2
GBR,cycling,27,1,181,85,0,0,0
GBR,table tennis,23,1,186,67,0,0,0
CHN,triathlon,21,0,167,60,0,0,0
COL,football,23,0,169,52,0,0,0
PAK,aquatics,19,0,165,67,0,0,0
BEL,badminton,25,0,160,54,0,0,0
ITA,athletics,33,0,175,60,0,0,0
CZE,shooting,24,0,163,52,0,0,0
CUB,rowing,23,0,168,57,0,0,0
NED,hockey,26,0,170,64,1,0,1
ESP,weightlifting,31,0,169,74,1,0,1
CPV,athletics,21,0,178,70,0,0,0
UKR,archery,23,0,183,69,0,0,0
NED,gymnastics,24,0,167,54,0,0,0
NED,athletics,27,1,185,74,0,0,0
NED,rowing,26,0,183,74,0,0,0
EST,athletics,24,0,174,67,0,0,0
EST,athletics,30,0,164,48,0,0,0
CHN,sailing,28,0,176,60,0,0,0
