nationality,sport,age,male,height,weight,won_any,won_gold,total_medals
ROU,aquatics,24,1,200,95,0,0,0
ROU,shooting,33,1,173,73,0,0,0
NAM,athletics,32,0,166,53,0,0,0
UKR,athletics,27,0,175,65,0,0,0
UKR,fencing,23,0,169,75,1,0,1
UKR,athletics,26,0,180,67,0,0,0
ROU,athletics,23,0,175,57,0,0,0
UKR,wrestling,25,0,165,69,0,0,0
BLR,athletics,27,0,164,57,0,0,0
BRA,football,27,0,162,60,0,0,0
GER,wrestling,25,0,177,73,0,0,0
BRA,wrestling,29,0,178,80,0,0,0
BLR,athletics,26,0,180,76,0,0,0
IRI,judo,19,1,182,66,0,0,0
IRI,wrestling,22,1,175,86,0,0,0
USA,gymnastics,21,0,163,47,0,0,0
RUS,sailing,26,0,165,57,0,0,0
USA,cycling,25,0,158,56,1,0,1
USA,volleyball,28,0,184,72,1,0,1
BRA,volleyball,30,1,202,102,1,1,1
GBR,sailing,29,0,182,70,0,0,0
NZL,rowing,26,1,186,71,0,0,0
GBR,triathlon,28,1,184,70,1,1,1
RUS,gymnastics,21,0,161,48,1,1,3
GUY,athletics,19,0,163,53,0,0,0
FRA,tennis,26,0,173,63,0,0,0
UKR,wrestling,27,0,165,75,0,0,0
RUS,aquatics,27,0,170,56,1,1,1
HON,football,22,1,180,76,0,0,0
AUS,rugby sevens,22,1,170,87,0,0,0
HON,aquatics,22,1,178,79,0,0,0
SEY,sailing,39,1,181,91,0,0,0
DEN,sailing,35,1,173,67,0,0,0
BRA,aquatics,27,1,174,73,0,0,0
HON,football,22,1,184,69,0,0,0
EST,rowing,33,1,190,95,1,0,1
USA,football,28,0,172,59,0,0,0
CAN,cycling,23,0,169,62,1,0,1
USA,equestrian,36,0,168,58,1,0,1
FRA,handball,27,0,181,66,1,0,1
USA,aquatics,26,0,186,74,1,1,2
SKN,athletics,25,1,187,71,0,0,0
CAN,football,27,0,160,58,1,0,1
USA,athletics,30,0,168,56,1,1,3
ARU,aquatics,20,0,165,60,0,0,0
KAZ,wrestling,28,1,166,59,0,0,0
ETH,athletics,24,0,166,47,1,1,2
GER,weightlifting,34,1,183,149,0,0,0
GER,football,25,0,180,71,1,1,1
ISR,gymnastics,18,0,170,53,0,0,0
LAT,aquatics,25,0,176,63,0,0,0
PAN,athletics,26,1,181,76,0,0,0
PER,equestrian,38,1,170,68,0,0,0
KEN,athletics,22,1,167,59,0,0,0
BRA,athletics,25,1,181,60,0,0,0
BRA,equestrian,43,1,186,86,0,0,0
ESP,hockey,23,1,178,79,0,0,0
ESP,athletics,22,1,179,63,0,0,0
ESP,athletics,22,1,177,69,0,0,0
FIJ,football,28,1,185,88,0,0,0
AUS,canoe,23,0,182,71,0,0,0
GER,athletics,27,1,196,84,0,0,0
PUR,athletics,23,0,171,59,0,0,0
CAN,athletics,22,0,172,67,0,0,0
GBR,athletics,37,0,155,43,0,0,0
AUS,canoe,20,0,173,65,0,0,0
RSA,athletics,25,0,176,63,0,0,0
USA,hockey,22,0,158,53,0,0,0
USA,football,28,0,175,61,0,0,0
CAN,athletics,24,0,155,68,0,0,0
CZE,aquatics,26,0,172,65,0,0,0
GUI,aquatics,21,1,163,69,0,0,0
SEN,athletics,23,1,180,80,0,0,0
ESP,rugby sevens,19,0,171,68,0,0,0
NGR,athletics,26,0,164,61,0,0,0
DEN,cycling,20,0,175,62,0,0,0
DEN,canoe,21,0,166,60,0,0,0
ARM,athletics,28,0,170,56,0,0,0
ETH,athletics,32,1,183,68,0,0,0
BRA,rugby sevens,26,0,162,54,0,0,0
THA,cycling,26,0,165,60,0,0,0
RSA,football,28,0,164,61,0,0,0
USA,rowing,25,0,181,79,1,1,1
SWE,football,23,0,178,65,0,0,0
SIN,sailing,22,0,170,68,0,0,0
BRA,aquatics,29,0,169,58,0,0,0
USA,rowing,30,0,181,83,1,1,1
BRA,fencing,22,0,166,62,0,0,0
AUS,cycling,28,0,161,55,0,0,0
USA,aquatics,30,0,188,77,1,0,1
FRA,football,26,0,171,64,0,0,0
FRA,handball,30,0,178,64,1,0,1
FRA,canoe,29,0,168,64,0,0,0
TKM,athletics,27,1,190,117,0,0,0
ERI,athletics,25,1,177,59,0,0,0
CRO,weightlifting,29,1,170,85,0,0,0
BLR,wrestling,26,1,184,88,0,0,0
NGR,wrestling,26,1,165,65,0,0,0
